location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
LAN1,Lancaster,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,6.7,µg/m³,40.0439,-76.1125,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pennsylvania Dept. of Environmental Protection""}]"
Madisonville,New Orleans-Metairie-Kenner,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,0.4,µg/m³,30.4293,-90.1997,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Louisiana Department of Environmental Quality""}]"
Greenville-ESC,Greenville,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,3.3,µg/m³,34.843899,-82.414597,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
Bee Ridge,Sarasota-Bradenton-Venice,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,5.2,µg/m³,27.2906,-82.5072,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Florida Dept. of Environmental Protection""}]"
Idaho Falls / Penfor,Idaho Falls,US,2017-02-25T20:00:00.000Z,2017-02-25T13:00:00-07:00,pm25,0,µg/m³,43.4683,-112.053101,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
Kapolei,Honolulu,US,2017-02-25T20:00:00.000Z,2017-02-25T10:00:00-10:00,pm25,12,µg/m³,21.323601,-158.088593,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
"Kihei, Maui",Kahului-Wailuku,US,2017-02-25T20:00:00.000Z,2017-02-25T10:00:00-10:00,pm25,3,µg/m³,20.7808,-156.4461,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Hawaii State Dept. of Health""}]"
Sioux Falls,MINNEHAHA,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,2,µg/m³,43.54792,-96.700768,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Dakota Department of Environmental and Natural Resources""}]"
Williams Middle Scho,Florence,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,8.1,µg/m³,34.2143,-79.7673,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""South Carolina DHEC""}]"
St. Lukes Meridian,Boise City-Nampa,US,2017-02-25T20:00:00.000Z,2017-02-25T13:00:00-07:00,pm25,-2,µg/m³,43.600699,-116.347853,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Idaho Department of Environmental Quality""}]"
St Regis Mohawk-NY,Malone,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,8.5,µg/m³,44.980598,-74.695297,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
GC_MAD,St. Louis,US,2017-02-25T20:00:00.000Z,2017-02-25T14:00:00-06:00,pm25,6.5,µg/m³,38.7045,-90.1397,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
Painesville - JFS,Cleveland-Elyria-Mentor,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,3.2,µg/m³,41.726811,-81.242156,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
EBAM7 - Sac 5th St.,PROXY SITE - CA - CONSTANT,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,-3,µg/m³,37.74646,-120.1437,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
EBAM8 - Cobb Element,PROXY SITE - CA - CONSTANT,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,7,µg/m³,38.8303,-122.722,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Cannons Lane,Louisville,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,7.4,µg/m³,38.2286,-85.6544,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Louisville Metro Air Pollution Control District""}]"
Diablo,Phoenix-Mesa-Scottsdale,US,2017-02-25T20:00:00.000Z,2017-02-25T13:00:00-07:00,pm25,4,µg/m³,33.3961,-111.968,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Maricopa County Air Quality Department""}]"
Paradise Theater,BUTTE,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,-1,µg/m³,39.753889,-121.624444,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Fort Lee Near Road,New York-Northern New Jersey-Long Island,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,4.1,µg/m³,40.85355,-73.9661,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
Cottage Grove City S,Eugene-Springfield,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,0.8,µg/m³,43.7995,-123.0535,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Lane Regional Air Protection Agency""}]"
Howard County Near R,HOWARD,US,2017-02-25T20:00:00.000Z,2017-02-25T15:00:00-05:00,pm25,10,µg/m³,39.143197,-76.846192,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Maryland Department of the Environment""}]"
Seattle-10th & Welle,Seattle-Tacoma-Bellevue,US,2017-02-25T20:00:00.000Z,2017-02-25T12:00:00-08:00,pm25,11.3,µg/m³,47.597222,-122.319722,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
